player_name,age,minutes_played,field_goal_success,goal_success_3p,goal_success_2p,effective_field_goal,total_rebounds,assist,steal,blocking,points
Vince Carter,41,1026,0.403,0.345,0.483,0.504,148,69,42,26,313
Wade Baldwin,21,80,0.667,0.8,0.625,0.762,8,5,2,1,38
Walt Lemon Jr.,25,35,0.438,1,0.4,0.469,2,5,0,1,17
Wayne Ellington,30,2041,0.407,0.392,0.479,0.569,218,79,53,8,864
Wayne Selden,23,692,0.431,0.402,0.456,0.522,56,66,18,5,325
Wesley Iwundu,23,1020,0.427,0.196,0.488,0.447,137,57,33,12,229
Wesley Johnson,30,1486,0.408,0.339,0.471,0.489,216,61,76,62,403
Wesley Matthews,31,2131,0.406,0.381,0.441,0.516,198,172,76,16,802
Will Barton,27,2683,0.452,0.37,0.51,0.528,409,331,82,52,1268
Willie Cauley-Stein,24,2044,0.502,0.25,0.506,0.504,510,172,77,67,932
Willie Reed,27,423.5,0.668,0.5,0.6705,0.6725,120.5,9.5,9,22,194
Willy Hernangomez,23,330,0.555333333,0.396,0.566,0.570333333,122,22,12,10.66666667,164
Wilson Chandler,30,2346,0.445,0.358,0.501,0.515,398,159,43,39,738
Xavier Munford,25,21,0.167,0,0.25,0.167,1,4,1,0,3
Xavier Rathan-Mayes,23,118,0.286,0.071,0.393,0.298,5,18,6,3,29
Yogi Ferrell,24,2282,0.426,0.373,0.477,0.518,249,201,64,9,838
Zach Collins,20,1045,0.398,0.31,0.455,0.458,221,52,17,31,292
Zach LaVine,22,656,0.383,0.341,0.405,0.442,94,72,24,4,401
Zach Randolph,36,1508,0.473,0.347,0.503,0.507,397,127,42,10,857
Zaza Pachulia,33,972,0.564,0,0.567,0.564,321,109,38,17,373
Zhou Qi,22,124,0.188,0.105,0.308,0.219,22,2,2,14,22
